ENSG;ProtID;Symbol;
ENSG00000131051;Q14498;RBM39;
ENSG00000070756;P11940;PABPC1;
ENSG00000108654;P17844;DDX5;
ENSG00000148843;Q14690;PDCD11;
ENSG00000058673;O75152;ZC3H11A;
ENSG00000125743;P62316;SNRPD2;
ENSG00000147649;Q86UE4;MTDH;
ENSG00000138095;P42704;LRPPRC;
ENSG00000253729;P78527;PRKDC;
ENSG00000204221;O15213;WDR46;
ENSG00000142207;O60287;URB1;
ENSG00000079246;P13010;XRCC5;
ENSG00000132382;Q9BQG0;MYBBP1A;
ENSG00000197958;P30050;RPL12;
ENSG00000130935;Q9H8H0;NOL11;
ENSG00000155506;Q6PKG0;LARP1;
ENSG00000244462;Q9NTZ6;RBM12;
ENSG00000155363;Q9HCE1;MOV10;
ENSG00000160710;P55265;ADAR;
ENSG00000130702;O15230;LAMA5;
ENSG00000103067;Q9H6T0;ESRP2;
ENSG00000147604;P18124;RPL7;
ENSG00000155363;Q9HCE1;MOV10;
ENSG00000162613;B4DT31;FUBP1;
ENSG00000135372;Q9H0A0;NAT10;
ENSG00000143321;P51858;HDGF;
ENSG00000165119;P61978;HNRNPK;
ENSG00000107164;Q96I24;FUBP3;
ENSG00000196531;Q13765;NACA;
ENSG00000164587;P62263;RPS14;
ENSG00000164587;P62263;RPS14;
ENSG00000136271;Q9NY93;DDX56;
ENSG00000122406;P46777;RPL5;
ENSG00000197498;Q9H7B2;RPF2;
ENSG00000170144;P51991;HNRNPA3;
ENSG00000166794;P23284;PPIB;
ENSG00000153944;Q96DH6;MSI2;
ENSG00000138668;Q14103;HNRNPD;
ENSG00000154719;Q9NYK5;MRPL39;
ENSG00000162613;B4DT31;FUBP1;
ENSG00000115216;Q9UHY1;NRBP1;
ENSG00000165732;Q9NR30;DDX21;
ENSG00000133706;Q9P2J5;LARS;
ENSG00000088247;Q92945;KHSRP;
ENSG00000159217;Q9NZI8;IGF2BP1;
ENSG00000165119;P61978;HNRNPK;
ENSG00000088247;Q92945;KHSRP;
ENSG00000111669;P60174;TPI1;
ENSG00000189403;P09429;HMGB1;
ENSG00000164104;P26583;HMGB2;
ENSG00000145050;P55145;MANF;
ENSG00000111641;P46087;NOP2;
ENSG00000177600;P05387;RPLP2;
ENSG00000143621;Q12905;ILF2;
ENSG00000108298;P84098;RPL19;
ENSG00000136271;Q9NY93;DDX56;
ENSG00000187145;P82921;MRPS21;
ENSG00000118246;Q9NYY8;FASTKD2;
ENSG00000167658;P13639;EEF2;
ENSG00000110955;P06576;ATP5B;
ENSG00000161057;P35998;PSMC2;
ENSG00000115368;Q8IWA0;WDR75;
ENSG00000265681;P18621;RPL17;
ENSG00000127947;Q05209;PTPN12;
ENSG00000162613;B4DT31;FUBP1;
ENSG00000197451;Q99729;HNRNPAB;
ENSG00000138668;Q14103;HNRNPD;
ENSG00000155363;Q9HCE1;MOV10;
ENSG00000125691;P62829;RPL23;
ENSG00000124942;Q09666;AHNAK;
ENSG00000124942;Q09666;AHNAK;
ENSG00000073792;Q9Y6M1;IGF2BP2;
ENSG00000140575;P46940;IQGAP1;
ENSG00000170515;Q9UQ80;PA2G4;
ENSG00000054523;O60333;KIF1B;
ENSG00000108179;P30405;PPIF;
ENSG00000185651;P68036;UBE2L3;
ENSG00000114416;P51114;FXR1;
ENSG00000071626;Q96EP5;DAZAP1;
ENSG00000138668;Q14103;HNRNPD;
ENSG00000044574;P11021;HSPA5;
ENSG00000189403;P09429;HMGB1;
ENSG00000164104;P26583;HMGB2;
ENSG00000239306;Q96PK6;RBM14;
ENSG00000132780;P49321;NASP;
ENSG00000187735;P23193;TCEA1;
ENSG00000055483;Q9P275;USP36;
ENSG00000089280;P35637;FUS;
ENSG00000138095;P42704;LRPPRC;
ENSG00000129245;P51116;FXR2;
ENSG00000106244;Q13442;PDAP1;
ENSG00000132819;Q9H0Z9;RBM38;
ENSG00000163694;A0AV96;RBM47;
ENSG00000129351;Q12906;ILF3;
ENSG00000135829;Q08211;DHX9;
ENSG00000055950;B1AL06;MRPL43;
ENSG00000239306;Q96PK6;RBM14;
ENSG00000143924;Q9HC35;EML4;
ENSG00000132024;Q6P1N0;CC2D1A;
ENSG00000130305;Q96P11;NSUN5;
ENSG00000198242;A8MUS3;RPL23A;
ENSG00000136270;Q969Z0;TBRG4;
ENSG00000167526;P26373;RPL13;
ENSG00000164934;Q9NV06;DCAF13;
ENSG00000146909;Q5C9Z4;NOM1;
ENSG00000125944;O43390;HNRNPR;
ENSG00000015479;P43243;MATR3;
ENSG00000023191;P13489;RNH1;
ENSG00000138095;P42704;LRPPRC;
ENSG00000138385;P05455;SSB;
ENSG00000135316;O60506;SYNCRIP;
ENSG00000155506;Q6PKG0;LARP1;
ENSG00000011243;Q9ULX6;AKAP8L;
ENSG00000182872;P98175;RBM10;
ENSG00000204469;P48634;PRRC2A;
ENSG00000130713;Q13868;EXOSC2;
ENSG00000125651;P35269;GTF2F1;
ENSG00000141543;P38919;EIF4A3;
ENSG00000138095;P42704;LRPPRC;
ENSG00000162231;Q9UBU9;NXF1;
ENSG00000197111;Q15366;PCBP2;
ENSG00000188783;P51888;PRELP;
ENSG00000048828;Q9NZB2;FAM120A;
ENSG00000107581;Q14152;EIF3A;
ENSG00000149187;G5EA30;CELF1;
ENSG00000129351;Q12906;ILF3;
ENSG00000165119;P61978;HNRNPK;
ENSG00000099622;D6W5Y5;CIRBP;
ENSG00000121390;Q8WXF1;PSPC1;
ENSG00000138095;P42704;LRPPRC;
ENSG00000023191;P13489;RNH1;
ENSG00000164104;P26583;HMGB2;
ENSG00000112306;P25398;RPS12;
ENSG00000135829;Q08211;DHX9;
ENSG00000172757;P23528;CFL1;
ENSG00000163220;P06702;S100A9;
ENSG00000161634;P81605;DCD;
ENSG00000120800;O75691;UTP20;
ENSG00000197157;Q7KZF4;SND1;
ENSG00000116120;Q9NSD9;FARSB;
ENSG00000130826;O60832;DKC1;
ENSG00000099821;O00411;POLRMT;
ENSG00000138095;P42704;LRPPRC;
ENSG00000100028;P62318;SNRPD3;
ENSG00000138095;P42704;LRPPRC;
ENSG00000110700;P62277;RPS13;
ENSG00000118181;P62851;RPS25;
ENSG00000136938;Q92688;ANP32B;
ENSG00000170606;P34932;HSPA4;
ENSG00000130723;Q5JSZ5;PRRC2B;
ENSG00000089280;P35637;FUS;
ENSG00000120802;P42166;TMPO;
ENSG00000148303;P62424;RPL7A;
ENSG00000124795;P35659;DEK;
ENSG00000125844;Q9P2E9;RRBP1;
ENSG00000065183;Q9UNX4;WDR3;
ENSG00000132382;Q9BQG0;MYBBP1A;
ENSG00000107581;Q14152;EIF3A;
ENSG00000140988;P15880;RPS2;
ENSG00000158417;O60841;EIF5B;
ENSG00000122299;Q8IWR0;ZC3H7A;
ENSG00000108654;P17844;DDX5;
ENSG00000198113;Q9NXH8;TOR4A;
ENSG00000113643;P54136;RARS;
ENSG00000186416;O15226;NKRF;
ENSG00000155363;Q9HCE1;MOV10;
ENSG00000155363;Q9HCE1;MOV10;
ENSG00000164338;Q8TED0;UTP15;
ENSG00000163607;Q8N3Z3;GTPBP8;
ENSG00000137154;P62753;RPS6;
ENSG00000136628;P07814;EPRS;
ENSG00000131013;Q8WUA2;PPIL4;
